title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country,magnitude_scaled,depth_scaled,geo_cluster,location_risk_score,alert_encoded
"M 6.9 - 122 km WSW of Bengkulu, Indonesia",6.9,18-08-2020 22:29,4,4,green,0,735,us,0,1.716,25.0,mww,26.0,-4.2791,101.215,"Bengkulu, Indonesia",,Indonesia,-0.09236890337628839,-0.3636085892601314,8,7.034831460674158,0
"M 6.8 - 138 km WSW of Bengkulu, Indonesia",6.8,18-08-2020 22:23,5,4,green,0,716,us,0,1.816,34.0,mww,22.0,-4.3724,101.095,"Bengkulu, Indonesia",,Indonesia,-0.31697239355122153,-0.39276538697869173,8,7.034831460674158,0
"M 6.6 - 13 km E of San Pedro, Philippines",6.6,18-08-2020 00:03,9,8,yellow,1,784,us,0,5.128,14.0,mww,10.0,12.0065,124.13,"San Pedro, Philippines",,Philippines,-0.7661793739010858,-0.48023578013437274,2,6.878813559322034,4
"M 7.8 - 99 km SSE of Perryville, Alaska",7.8,22-07-2020 06:12,9,7,green,1,1111,us,0,0.621,60.0,mww,28.0,55.1079,-158.477,"Perryville, Alaska",,,1.9290625081980977,-0.3490301904008512,6,6.941860465116279,0
"M 7.0 - 114 km NNW of Popondetta, Papua New Guinea",7.0,17-07-2020 02:50,6,7,green,1,820,us,0,1.671,18.0,mww,73.0,-7.847,147.755,"Popondetta, Papua New Guinea",,Papua New Guinea,0.13223458679864272,-0.0210162160670475,5,6.913736263736263,0
"M 6.6 - 97 km N of Batang, Indonesia",6.6,06-07-2020 22:54,4,2,green,0,684,us,0,1.458,14.0,mww,533.76,-5.6368,110.678,"Batang, Indonesia",,Indonesia,-0.7661793739010858,3.3375553131339166,2,6.878813559322034,0
"M 7.4 - 9 km SE of Santa María Xadani, Mexico",7.4,23-06-2020 15:29,8,8,orange,1,1494,us,0,0.151,30.0,mww,20.0,15.9163,-95.9533,"Santa María Xadani, Mexico",North America,Mexico,1.0306485474983713,-0.4073437858379719,1,6.9223684210526315,1
M 7.4 - south of the Kermadec Islands,7.4,18-06-2020 12:49,7,7,green,1,873,us,0,4.035,23.0,mww,10.0,-33.2938,-177.838,the Kermadec Islands,,,1.0306485474983713,-0.48023578013437274,3,6.9511111111111115,0
"M 6.6 - 130 km WNW of Naze, Japan",6.6,13-06-2020 15:51,5,4,green,1,734,us,0,2.015,18.0,mww,165.0,28.9386,128.262,"Naze, Japan",,,-0.7661793739010858,0.6495901314598401,7,6.983076923076924,0
"M 6.8 - 48 km SW of San Pedro de Atacama, Chile",6.8,03-06-2020 07:35,6,6,green,1,835,us,0,1.164,21.0,mww,112.0,-23.2966,-68.4204,"San Pedro de Atacama, Chile",South America,Chile,-0.31697239355122153,0.2632625616889157,4,6.97625,0
"M 6.5 - Monte Cristo Range, NV Earthquake",6.5,15-05-2020 11:03,7,8,green,0,1320,nn,27,0.357,55.79,ml,2.7,38.1689,-117.85,"Monte Cristo Range, NV Earthquake",North America,United States of America,-0.9907828640760169,-0.5334469359707453,6,6.941860465116279,0
"M 6.6 - 175 km SSE of Lata, Solomon Islands",6.6,12-05-2020 22:41,4,6,green,1,671,us,0,3.403,12.0,mww,107.0,-12.0662,166.648,"Lata, Solomon Islands",,,-0.7661793739010858,0.2268165645407153,5,6.913736263736263,0
M 6.8 - Banda Sea,6.8,06-05-2020 13:53,4,6,green,0,738,us,0,1.921,16.0,mww,96.0,-6.7762,129.785,Banda Sea,,Indonesia,-0.31697239355122153,0.1466353708146744,2,6.878813559322034,0
"M 6.5 - 91 km S of Néa Anatolí, Greece",6.5,02-05-2020 12:51,7,6,green,0,678,us,0,1.293,19.0,mww,10.0,34.1818,25.7101,"Néa Anatolí, Greece",,,-0.9907828640760169,-0.48023578013437274,0,6.866666666666667,0
"M 6.5 - Stanley, Idaho",6.5,31-03-2020 23:52,8,8,green,0,1410,us,0,0.885,31.0,mww,12.06,44.4646,-115.118,"Stanley, Idaho",North America,United States of America,-0.9907828640760169,-0.4652200293093141,6,6.941860465116279,0
"M 7.5 - 221 km SSE of Severo-Kuril’sk, Russia",7.5,25-03-2020 02:49,6,5,green,1,879,us,0,4.109,12.0,mww,57.8,48.9638,157.695,"Severo-Kuril’sk, Russia",,,1.2552520376733023,-0.1318120473975768,7,6.983076923076924,0
"M 7.0 - 95 km ENE of Kuril’sk, Russia",7.0,13-02-2020 10:33,5,6,yellow,1,770,us,0,4.501,25.0,mww,143.0,45.6161,148.959,"Kuril’sk, Russia",Asia,Russia,0.13223458679864272,0.4892277440077583,7,6.983076923076924,4
